,Soil layer,Soil depth cm,Pinuscontorta_10yrsSeedling,BigSagebrushEcosystem_cm,Shortgrass_JBB_cm,Shortgrass3,ShortgrassSteppe_MeanOf_Liang1989Singh1998_cm,ShortgrassSteppe_MeanOf_Liang1989Singh1998_WeightedByShrub_cm,FILL,C3_John,C4_John,Annuals_John,SchenkJackson2003_PCdry_shrubs,SchenkJackson2003_PCdry_grasses,SchenkJackson2003_PCdry_forbs,Jacksonetal1996_crops,Bradfordetal2014_LodgepolePine
LayerORDepthCM,Layer,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM
Source,,,"Nadeau LB, Pluth DJ (1997) Canadian Journal of Forest Research, 27, 1606-1613.",,"Bradford JB, Lauenroth WK (2006) Journal of Vegetation Science, 17, 693-704.",Dave Smith Thesis (2003),,,,,,,,,,,Bradford et al. (2014) Ecosystems 17:590–605
,,93,,0.000871862,,,0.000158117,8.07E-06,0.005,0.002,0.000395293,0.002,0.0027583348,0.0012749425,0.0012749425,0.0010037285,
,,94,,0.000871862,,,0.000158117,8.07E-06,0.005,0.002,0.000395293,0.002,0.0026959816,0.0012296584,0.0012296584,0.0009645831,
,,95,,0.000871862,,,0.000158117,8.07E-06,0.005,0.002,0.000395293,0.002,0.0026350379,0.0011859826,0.0011859826,0.0009269644,
,,96,,0.000871862,,,0.000158117,8.07E-06,0.005,0.002,0.000395293,0.002,0.0025754719,0.0011438582,0.0011438582,0.0008908128,
,,97,,0.000871862,,,0.000158117,8.07E-06,0.005,0.002,0.000395293,0.002,0.0025172525,0.0011032299,0.0011032299,0.0008560711,
,,98,,0.000871862,,,0.000158117,8.07E-06,0.005,0.002,0.000395293,0.002,0.002460349,0.0010640448,0.0010640448,0.0008226843,
,,99,,0.000871862,,,0.000158117,8.07E-06,0.005,0.002,0.000395293,0.002,0.002404732,0.0010262514,0.0010262514,0.0007905996,
,,100,,0.000871862,,,0.000158117,8.07E-06,0.005,0.002,0.000395293,0.002,0.0023503721,0.0009898004,0.0009898004,0.0007597662,
,,101,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0022972411,0.000954644,0.000954644,0.0007301353,
,,102,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0022453111,0.0009207364,0.0009207364,0.0007016601,
,,103,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.002194555,0.0008880331,0.0008880331,0.0006742953,
,,104,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0021449463,0.0008564914,0.0008564914,0.0006479978,
,,105,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.002096459,0.0008260701,0.0008260701,0.0006227259,
,,106,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0020490678,0.0007967292,0.0007967292,0.0005984396,
,,107,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0020027479,0.0007684305,0.0007684305,0.0005751004,
,,108,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.001957475,0.0007411369,0.0007411369,0.0005526715,
,,109,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0019132256,0.0007148128,0.0007148128,0.0005311173,
,,110,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0018699764,0.0006894236,0.0006894236,0.0005104038,
,,111,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0018277049,0.0006649363,0.0006649363,0.000490498,
,,112,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.001786389,0.0006413187,0.0006413187,0.0004713686,
,,113,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.001746007,0.0006185399,0.0006185399,0.0004529852,
,,114,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0017065379,0.0005965703,0.0005965703,0.0004353188,
,,115,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.001667961,0.0005753809,0.0005753809,0.0004183414,
,,116,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0016302561,0.0005549442,0.0005549442,0.000402026,
,,117,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0015934035,0.0005352333,0.0005352333,0,
,,118,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0015573841,0.0005162226,0.0005162226,0,
,,119,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0015221788,0.0004978871,0.0004978871,0,
,,120,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0014877694,0.0004802028,0.0004802028,0,
,,121,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0014541379,0.0004631467,0.0004631467,0,
,,122,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0014212665,0.0004466964,0.0004466964,0,
,,123,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0013891383,0.0004308304,0.0004308304,0,
,,124,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0013577363,0.0004155279,0.0004155279,0,
,,125,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0013270442,0.0004007689,0.0004007689,0,
,,126,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0012970459,0.0003865341,0.0003865341,0,
,,127,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0012677257,0.000372805,0.000372805,0,
,,128,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0012390683,0,0,0,
,,129,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0012110587,0,0,0,
,,130,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0011836822,0,0,0,
,,131,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0011569247,0,0,0,
,,132,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.001130772,0,0,0,
,,133,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0011052105,0,0,0,
,,134,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0010802268,0,0,0,
,,135,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0010558078,0,0,0,
,,136,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0010319409,0,0,0,
,,137,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0010086135,0,0,0,
,,138,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0009858134,0,0,0,
,,139,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0009635288,0,0,0,
,,140,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0009417478,0,0,0,
,,141,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0009204593,0,0,0,
,,142,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.000899652,0,0,0,
,,143,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.000879315,0,0,0,
,,144,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0008594378,0,0,0,
,,145,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0008400099,0,0,0,
,,146,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0008210211,0,0,0,
,,147,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0008024617,0,0,0,
,,148,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0007843217,0,0,0,
,,149,,0.000299494,,,0.000158117,8.07E-06,0.005,0.0002,0.000158117,0.0002,0.0007665918,0,0,0,
